X0,X1,X2
1.0,1.0,5.0
2.0,3.0,8.0
3.0,3.0,11.0
4.0,3.0,9.0
5.0,5.0,9.5
6.0,3.5,10.0
7.0,3.0,12.0
8.0,4.5,10.0
9.0,5.0,11.5
10.0,5.0,10.0
11.0,6.0,11.0
12.0,5.0,10.0
13.0,4.0,10.5
14.0,6.0,10.0
15.0,5.0,11.0
16.0,6.5,11.0
17.0,4.0,11.5
18.0,6.0,12.0
19.0,3.0,12.5
20.0,6.0,13.0
21.0,5.0,11.0
22.0,8.0,11.0
23.0,4.5,11.0
24.0,4.0,13.0
25.0,4.0,11.0
26.0,6.5,13.0
27.0,4.0,12.0
28.0,5.0,14.0
29.0,3.0,10.0
30.0,5.5,13.0
31.0,3.0,8.0
32.0,2.0,7.5
33.0,2.0,8.0
34.0,2.0,8.0
35.0,2.0,7.0
36.0,3.0,10.0
37.0,2.0,7.0
38.0,2.0,10.0
39.0,2.0,8.0
40.0,2.0,10.0
41.0,2.0,9.0
42.0,1.5,10.0
43.0,1.5,8.0
44.0,1.5,11.0
45.0,1.0,10.0
46.0,1.0,7.0
47.0,1.0,5.0
48.0,1.0,7.0
49.0,0.5,8.0
50.0,0.5,6.0
51.0,0.0,7.5
52.0,0.0,2.5
